fare_id,route_id,origin_id,destination_id,contains_id
12,26,143W,142T,
12,26,141S,142T,
12,26,130E,142T,
12,26,120S,142T,
12,25,151E,141S,
12,25,146Y,141S,
12,26,146Y,141S,
12,26,144X,141S,
12,26,143W,141S,
12,26,142T,141S,
12,26,130E,141S,
12,26,120S,141S,
12,26,146Y,130E,
12,26,144X,130E,
12,26,143W,130E,
12,26,142T,130E,
12,26,141S,130E,
12,26,120S,130E,
12,26,146Y,120S,
12,26,144X,120S,
12,26,143W,120S,
12,26,142T,120S,
12,26,141S,120S,
12,26,130E,120S,
1,1,231A,232B,
1,1,231A,233C,
1,1,231A,234D,
2,1,231A,235E,
2,1,231A,236F,
3,1,231A,237G,
4,1,231A,238H,
3,1,231A,239J,
4,1,231A,240K,
5,1,231A,241L,
5,1,231A,242M,
6,1,231A,243N,
6,1,231A,244P,
6,1,231A,245R,
6,1,231A,246S,
7,1,231A,247T,
7,1,231A,248W,
7,1,231A,249X,
7,1,231A,260J,
8,1,231A,261K,
9,1,231A,262L,
10,1,231A,264N,
11,1,231A,265P,
11,1,231A,266R,
11,1,231A,267S,
11,1,231A,268T,
8,1,231A,270X,
11,1,231A,271Y,
1,1,232B,231A,
1,1,232B,233C,
1,1,232B,234D,
2,1,232B,235E,
2,1,232B,236F,
3,1,232B,237G,
4,1,232B,238H,
3,1,232B,239J,
4,1,232B,240K,
5,1,232B,241L,
5,1,232B,242M,
6,1,232B,243N,
6,1,232B,244P,
6,1,232B,245R,
6,1,232B,246S,
7,1,232B,247T,
7,1,232B,248W,
7,1,232B,249X,
7,1,232B,260J,
8,1,232B,261K,
9,1,232B,262L,
10,1,232B,264N,
11,1,232B,265P,
11,1,232B,266R,
11,1,232B,267S,
11,1,232B,268T,
8,1,232B,270X,
11,1,232B,271Y,
1,1,233C,231A,
1,1,233C,232B,
1,1,233C,234D,
2,1,233C,235E,
2,1,233C,236F,
3,1,233C,237G,
4,1,233C,238H,
3,1,233C,239J,
4,1,233C,240K,
5,1,233C,241L,
5,1,233C,242M,
6,1,233C,243N,
6,1,233C,244P,
6,1,233C,245R,
6,1,233C,246S,
7,1,233C,247T,
7,1,233C,248W,
7,1,233C,249X,
7,1,233C,260J,
8,1,233C,261K,
9,1,233C,262L,
10,1,233C,264N,
11,1,233C,265P,
11,1,233C,266R,
11,1,233C,267S,
11,1,233C,268T,
8,1,233C,270X,
11,1,233C,271Y,
1,1,234D,231A,
1,1,234D,232B,
1,1,234D,233C,
1,1,234D,235E,
2,1,234D,236F,
2,1,234D,237G,
4,1,234D,238H,
2,1,234D,239J,
3,1,234D,240K,
5,1,234D,241L,
5,1,234D,242M,
6,1,234D,243N,
6,1,234D,244P,
6,1,234D,245R,
6,1,234D,246S,
7,1,234D,247T,
7,1,234D,248W,
7,1,234D,249X,
7,1,234D,260J,
7,1,234D,261K,
8,1,234D,262L,
9,1,234D,264N,
10,1,234D,265P,
11,1,234D,266R,
11,1,234D,267S,
11,1,234D,268T,
7,1,234D,270X,
10,1,234D,271Y,
2,1,235E,231A,
2,1,235E,232B,
2,1,235E,233C,
1,1,235E,234D,
1,1,235E,236F,
1,1,235E,237G,
2,1,235E,238H,
1,1,235E,239J,
2,1,235E,240K,
3,1,235E,241L,
3,1,235E,242M,
4,1,235E,243N,
5,1,235E,244P,
5,1,235E,245R,
5,1,235E,246S,
6,1,235E,248W,
6,1,235E,249X,
6,1,235E,260J,
7,1,235E,261K,
7,1,235E,262L,
8,1,235E,264N,
9,1,235E,265P,
10,1,235E,266R,
10,1,235E,267S,
10,1,235E,268T,
7,1,235E,270X,
9,1,235E,271Y,
2,1,236F,231A,
2,1,236F,232B,
2,1,236F,233C,
2,1,236F,234D,
1,1,236F,235E,
1,1,236F,237G,
2,1,236F,238H,
1,1,236F,239J,
2,1,236F,240K,
3,1,236F,241L,
3,1,236F,242M,
4,1,236F,243N,
5,1,236F,244P,
5,1,236F,245R,
5,1,236F,246S,
6,1,236F,247T,
6,1,236F,248W,
6,1,236F,249X,
6,1,236F,260J,
7,1,236F,261K,
7,1,236F,262L,
8,1,236F,264N,
9,1,236F,265P,
10,1,236F,267S,
10,1,236F,268T,
7,1,236F,270X,
9,1,236F,271Y,
3,1,237G,231A,
3,1,237G,232B,
3,1,237G,233C,
2,1,237G,234D,
1,1,237G,235E,
1,1,237G,236F,
2,1,237G,238H,
1,1,237G,239J,
2,1,237G,240K,
3,1,237G,241L,
3,1,237G,242M,
4,1,237G,243N,
4,1,237G,244P,
4,1,237G,245R,
4,1,237G,246S,
5,1,237G,247T,
