Days;Train;TUNIS VILLE;JEBEL JELLOULI;MEGRINE RYADH;MEGRINE JELLOULI;SIDI REZIG;LYCEE RADES;RADES;RADES MELIANE;EZ-ZAHRA;LYCEE EZZAHRA;BOU KORNIIN;HAMMAM LIF;ARRET DU STADE;TAHAR SFAR;HAMMAM LIF;BIR EL BEY;BORJ CEDRIA;ERRIADH
A;193;14:50;15:01;15:04;15:06;15:08;;15:12;15:15;15:19;15:22;15:24;15:27;15:30;15:33;15:36;15:38;15:43;15:47
-;195;15:00;15:11;15:14;15:16;15:19;15:21;15:24;15:27;15:30;15:33;15:35;15:37;15:40;15:43;15:46;15:48;15:53;15:57
A;197;15:20;15:31;15:34;15:36;15:38;15:41;15:44;15:47;15:50;15:53;15:55;15:58;16:01;16:04;16:07;16:09;16:14;16:18
B;199;15:30;15:41;15:44;15:46;15:49;15:51;15:54;15:57;16:00;16:03;16:05;16:07;16:10;16:13;16:16;16:18;16:23;16:27
A;201;15:35;15:46;15:49;15:51;15:54;15:56;15:59;16:02;16:05;16:08;16:10;16:12;16:15;16:18;16:21;16:23;16:28;16:32
-;203;16:00;16:11;16:14;16:16;16:19;;16:23;16:26;16:29;16:32;16:34;16:37;16:40;16:43;16:46;16:48;16:53;16:57
-;205;16:30;16:41;16:44;16:46;16:49;16:51;16:54;16:57;17:00;17:03;17:05;17:07;17:10;17:13;17:16;17:18;17:23;17:27
-;207;17:00;17:12;17:15;17:17;17:19;;17:23;17:26;17:29;17:32;17:34;17:37;17:40;17:43;17:46;17:48;17:53;17:57
-;209;17:30;17:41;17:44;17:46;17:49;;17:53;17:56;17:59;18:02;18:04;18:07;18:10;18:13;18:16;18:18;18:23;18:27
-;211;18:00;18:11;18:14;18:16;18:19;18:21;18:24;18:27;18:30;18:33;18:35;18:37;18:40;18:43;18:46;18:48;18:53;18:57
-;213;18:30;18:41;18:44;18:46;18:49;;18:53;18:56;18:59;19:02;19:04;19:07;19:10;19:13;19:16;19:18;19:23;19:27
-;215;19:00;19:11;19:14;19:16;19:19;19:21;19:24;19:27;19:30;19:33;19:35;19:37;19:40;19:43;19:46;19:48;19:53;19:57
-;217;19:30;19:42;19:45;19:47;19:50;;19:54;19:57;20:00;20:03;20:05;20:08;20:11;20:14;20:17;20:19;20:24;20:27
-;219;20:00;20:13;20:15;20:17;20:18;20:20;20:23;20:26;20:29;20:32;20:34;20:37;20:40;20:43;20:46;20:48;20:53;20:57
-;221;20:30;20:41;20:44;20:46;20:49;;20:53;20:56;20:59;21:02;21:04;21:07;21:10;21:13;21:16;21:18;21:23;21:27
-;223;21:00;21:13;21:15;21:18;21:21;;21:22;21:25;21:28;21:31;21:33;21:36;21:39;21:41;21:44;21:46;21:51;21:55
-;225;21:30;21:45;21:47;21:49;21:53;;21:53;21:57;22:00;22:03;22:05;22:07;22:10;22:13;22:16;22:18;22:23;22:27
-;227;22:00;22:13;22:15;22:18;22:22;;22:22;22:25;22:28;22:31;22:33;22:36;22:39;22:42;22:45;22:47;22:52;22:56
-;231;22:50;23:03;23:05;23:08;23:12;;23:12;23:15;23:18;23:21;23:23;23:26;23:29;23:32;23:35;23:37;23:42;23:46
