Train,Station,Time
15/77(*),METLAOUI,17:10
15/77(*),MAGROUN,17:20
15/77(*),SELJA,18:01
15/77(*),ELAYOUN,18:06
15/77(*),TABEDDIT (1ER ARRET),18:14
15/77(*),MOULARES,18:35
15/77(*),TABEDDIT (2EME ARRET),19:00
15/77(*),REDEYEF,19:27
