Days,Train,Bizerte,La Pacherite,Tinja,Mateur,Ain Ghelal,Sidi Othman,Chaouat,Jedeida,Manouba,Tunis Ville
A,1/4,5:00,5:09,5:34,6:02,6:28,6:48,7:02,7:13,7:34,7:53
B,1/10,6:50,6:59,7:24,7:52,8:18,8:38,8:52,9:04,9:26,9:45
